chinese word ranking	frequency	word	traditional	pinyin	hanviet	meaning
90	342.76	比较	比較	bǐjiào	bì giác/bì giảo/bì giếu/bí giác/bí giảo/bí giếu/bỉ giác/bỉ giảo/bỉ giếu/tỉ giác/tỉ giảo/tỉ giếu	có điều,so sánh/tương đối/dường như/so sánh/so với/hơn/khá
92	336.8	为什么	為什麼	wèishíyāo	vi thập ma/vi thập yêu	vì cái gì/vì sao/tại sao
99	317.6	有些	有些	yǒuxiē	dựu ta/dựu tá/hữu ta/hữu tá	có chút/có/có một số/có một ít/hơi/có phần
100	315.95	到了	到了	dàole	đáo liễu/đáo liệu	tới rồi
101	315.57	后来	後來	hòulái	hấu lai/hấu lãi/hậu lai/hậu lãi	sau lại/về sau/sau này/sau/sau đó/đến sau/trưởng thành sau/kế thừa/kế tiếp/kế nghiệp
102	313.48	那些	那些	nàxiē	na ta/na tá/nả ta/nả tá	này/những...ấy/những... đó/những... kia
103	305.6	其他	其他	qítā	ki tha/kì tha/ký tha/kỳ tha	mặt khác/cái khác/khác
105	300.65	同学	同學	tóngxué	đồng học	cùng học/học chung/bạn học/đồng môn/bạn cùng lớp/học trò/học sinh
107	296.99	真的	真的	zhēnde	chân đích/chân để	thật sự/thực sự
110	290.48	成为	成為	chéngwèi	thành vi	trở thành/biến thành/trở nên
113	286.96	妈妈	媽媽	māmā	ma ma/ma mụ/mụ ma/mụ mụ	mụ mụ/mẹ/má/me/u/bầm/mẫu thân/mợ
114	283.65	许多	許多	xǔduō	hổ đa/hứa đa/hử đa	rất nhiều/nhiều
121	277.91	于是	於是	yúshì	hu thị/vu thị/ô thị/ư thị	vì thế/Vì vậy/thế là/ngay sau đó/liền/bèn
122	275.85	男人	男人	nánrén	nam nhân	nam nhân/trượng phu/chồng/đàn ông
123	274.71	晚上	晚上	wǎnshàng	vãn thướng/vãn thượng	buổi tối/ban đêm/đêm tối
127	268.65	回来	回來	húilái	hối lai/hối lãi/hồi lai/hồi lãi	trở về/quay lại/về/trở lại/quay về trở lại/quay về
134	260.95	下来	下來	xiàlái	há lai/há lãi/hạ lai/hạ lãi	xuống dưới/xuống tới/xuống/lại/tiếp
135	260.73	由于	由於	yóuyú	do hu/do vu/do ô/do ư	bởi vì/bởi/do
136	258.9	如何	如何	rúhé	như hà	như thế nào/làm sao/thế nào/ra sao
137	258.79	有人	有人	yǒurén	dựu nhân/hữu nhân	có người
139	257.62	一般	一般	yībān	nhất ban/nhất bàn/nhất bát	bình thường/giống nhau/như nhau/một loại/một thứ/thông thường/phổ biến
142	254.39	任何	任何	rènhé	nhâm hà/nhậm hà	gì/bất luận cái gì
146	252.14	小时	小時	xiǎoshí	tiểu thì/tiểu thời	giờ/tiếng đồng hồ/giờ đồng hồ
147	251.0	别人	別人	biérén	biệt nhân	người khác/kẻ khác/người ta
150	247.07	必须	必須	bìxū	tất tu	phải/nhất định phải/nhất thiết phải
155	240.99	对于	對於	dùiyú	đối hu/đối vu/đối ô/đối ư	đối với/về..
156	240.49	心里	心裡	xīnlǐ	tâm lí/tâm lý	trong lòng/ngực/trong tư tưởng/trong đầu/trong bụng
157	240.31	有点	有點	yǒudiǎn	dựu điểm/hữu điểm	có điểm/chút/có ít/có chút/hơi/có phần
158	239.65	作为	作為	zuòwèi	tác vi	làm/là/hành vi/hành động/thành tích/thành tựu/có thành tích/có triển vọng/làm nên/làm được/việc nên làm/cho rằng/xem như/coi như/với tư cách/lấy tư cách
160	238.82	眼睛	眼睛	yǎnjīng	nhãn tình	ánh mắt/con mắt
161	237.93	人们	人們	rénmen	nhân môn	mọi người/người ta/nhân dân
163	234.7	那里	那裡	nàlǐ	na lí/na lý/nả lí/nả lý	nơi đó/nơi nào/đó/chỗ ấy/chỗ đó/nơi ấy
168	228.36	看见	看見	kànjiàn	khán hiện/khán kiến	thấy/trông thấy/thấy được/nhìn thấy
170	227.89	其中	其中	qízhōng	ki trung/ki trúng/kì trung/kì trúng/ký trung/ký trúng/kỳ trung/kỳ trúng	trong đó
171	227.86	多少	多少	duōshǎo	đa thiếu/đa thiểu	nhiều ít/bao nhiêu/hoặc nhiều hoặc ít/hoặc ít hoặc nhiều/hơi/hơi hơi/có phần/mấy/bao nhiêu... bấy nhiêu/bấy nhiêu
173	224.67	得到	得到	dédào	đắc đáo	được đến/xong/đạt được/được/nhận được
174	224.18	或者	或者	huòzhě	hoặc giả	hoặc là/có lẽ/có thể/chắc là/hoặc
177	221.32	考试	考試	kǎoshì	khảo thí	cuộc thi/thi/kiểm tra/sát hạch
180	220.14	能够	能夠	nénggòu	nai cú/nai hú/năng cú/năng hú/nại cú/nại hú	có thể/có khả năng/có điều kiện
182	219.2	之间	之間	zhījiān	chi gian	trong lúc đó
183	218.69	以及	以及	yǐjí	dĩ cập	cùng với/và/cùng
184	217.75	因此	因此	yīncǐ	nhân thử	bởi vậy/bởi vì/do đó/vì vậy
187	215.96	只要	只要	zhǐyào	chi yêu/chi yếu/chích yêu/chích yếu/chỉ yêu/chỉ yếu/kì yêu/kì yếu	chỉ cần/miễn là
188	215.9	每天	每天	měitiān	môi thiên/mỗi thiên	mỗi ngày
189	214.74	里面	裡面	lǐmiàn	lí diện/lí miến/lý diện/lý miến	bên trong/trong
190	214.18	终于	終於	zhōngyú	chung hu/chung vu/chung ô/chung ư	rốt cục/cuối cùng
191	214.14	过来	過來	guòlái	qua lai/qua lãi/quá lai/quá lãi	lại đây/nhiều/đủ/quá/về/đến/qua/sang đây/qua đây/đối mặt/đối diện/trở lại/trở về/lại
193	210.61	以前	以前	yǐqián	dĩ tiền	trước kia/trước đây/ngày trước
197	208.77	也许	也許	yěxǔ	dã hổ/dã hứa/dã hử	có lẽ/hay là/e rằng/biết đâu/may ra
198	208.56	如此	如此	rúcǐ	như thử	như thế/như vậy
201	207.01	总是	總是	zǒngshì	tổng thị	luôn/luôn luôn/lúc nào cũng/bao giờ cũng
202	206.69	了解	了解	lejiě	liễu giái/liễu giải/liễu giới/liệu giái/liệu giải/liệu giới	hiểu biết/lý giải/hiểu rõ/biết rõ/hỏi thăm/nghe ngóng
203	206.07	并不	並不	bìngbù	tinh bất/tinh phi/tinh phầu/tinh phủ/tịnh bất/tịnh phi/tịnh phầu/tịnh phủ	cũng không/không hề/chẳng hề/chả hề/chẳng
205	203.87	故事	故事	gùshì	cố sự	chuyện xưa/cố sự/lề thói lâu nay/chế độ làm việc cũ/lệ cũ/truyện/câu chuyện/tình tiết/cốt truyện
206	203.85	信息	信息	xìnxī	tín tức	tin tức/thông tin
207	201.65	正在	正在	zhèngzài	chánh tại/chính tại	đang ở/đang/đương
208	201.14	原来	原來	yuánlái	nguyên lai/nguyên lãi	nguyên lai/ban sơ/lúc đầu/vốn/vốn dĩ/té ra/hoá ra/thì ra
209	200.46	提供	提供	tígōng	thì cung/đề cung/để cung	cung cấp/dành cho
211	199.53	感到	感到	gǎndào	cảm đáo	cảm thấy/thấy
212	199.29	无法	無法	wúfǎ	mô pháp/vô pháp	không thể/vô pháp/không cách nào/vô phương/vô kế/không có cách gì/không còn cách nào
214	197.87	新闻	新聞	xīnwén	tân văn/tân vấn/tân vặn	tin tức/tin thời sự/việc mới xảy ra/chuyện mới/sự việc mới
215	196.76	语言	語言	yǔyán	ngứ ngân/ngứ ngôn/ngữ ngân/ngữ ngôn	ngôn ngữ/lời nói/tiếng nói
216	195.11	找到	找到	zhǎodào	hoa đáo/trảo đáo	tìm được
217	193.92	有关	有關	yǒuguān	dựu loan/dựu quan/hữu loan/hữu quan	có quan hệ/hữu quan/có liên quan/liên quan đến/đề cập đến
218	193.16	儿子	兒子	érzǐ	nghê tý/nghê tử/nhi tý/nhi tử/nhân tý/nhân tử	đứa con/nhi tử/con trai/người con
219	192.6	一边	一邊	yībiān	nhất biên	một bên/vừa/mặt bên/một mặt/bên cạnh/đồng dạng/như nhau
220	192.47	一天	一天	yītiān	nhất thiên	một ngày/một ngày đêm/một hôm/có một hôm/suốt ngày/từ sáng đến tối
222	191.76	目前	目前	mùqián	mục tiền	trước mắt/hiện nay
224	191.01	她们	她們	tāmen	tha môn	các nàng/họ/các chị ấy/các cô ấy/các bà ấy
228	189.08	进入	進入	jìnrù	tiến nhập	tiến vào/tiến nhập/vào/bước vào/đi vào
229	186.86	只能	只能	zhǐnéng	chi nai/chi năng/chi nại/chích nai/chích năng/chích nại/chỉ nai/chỉ năng/chỉ nại/kì nai/kì năng/kì nại	chỉ có thể
230	186.47	关于	關於	guānyú	loan hu/loan vu/loan ô/loan ư/quan hu/quan vu/quan ô/quan ư	về
231	186.46	家里	家裡	jiālǐ	cô lí/cô lý/gia lí/gia lý	trong nhà/trong/cả nhà/trong gia đình/bà xã/bà nhà/vợ/đơn vị tôi
237	184.55	不知	不知	bùzhī	bất tri/phi tri/phầu tri/phủ tri	không biết/chẳng
239	183.88	相信	相信	xiāngxìn	tương tín/tướng tín	tin tưởng/tin/tương tín/cùng tin nhau
241	183.55	似乎	似乎	sìhū	tự hô/tự hồ	tựa hồ/hình như/dường như
242	183.53	除了	除了	chúle	trừ liễu/trừ liệu	trừ bỏ/ngoại trừ/ngoài ra/trừ ra/ngoài...ra/ngoài...ra thì chỉ có..
243	181.73	分钟	分鐘	fēnzhōng	phân chung/phận chung	phút
244	181.35	回家	回家	húijiā	hối cô/hối gia/hồi cô/hồi gia	về nhà
245	179.96	几乎	幾乎	jīhū	ki hô/ki hồ/kí hô/kí hồ/kỉ hô/kỉ hồ/kỷ hô/kỷ hồ	cơ hồ/hầu như/gần như/chừng/gần/suýt nữa/xém
247	179.95	来说	來說	láishuō	lai duyệt/lai thuyết/lai thuế/lãi duyệt/lãi thuyết/lãi thuế	mà nói
248	179.24	回答	回答	húidá	hối đáp/hồi đáp	trả lời/đáp/giải đáp
251	178.26	回到	回到	húidào	hối đáo/hồi đáo	trở lại
252	177.67	是不是	是不是	shìbùshì	thị bất thị/thị phi thị/thị phầu thị/thị phủ thị	có phải hay không/có đúng hay không
253	177.09	说话	說話	shuōhuà	duyệt thoại/thuyết thoại/thuế thoại	nói chuyện/nói/nói ra/trò chuyện/tán dóc/chỉ trích/bới móc/nói câu chuyện/một chốc/một lát/một lúc/lời nói/nói chuyện sách
255	176.99	那样	那樣	nàyáng	na dạng/nả dạng	như vậy/như thế/thế
256	174.11	是否	是否	shìfǒu	thị bĩ/thị phủ	hay không/có hay không/phải chăng
260	172.36	以为	以為	yǐwèi	dĩ vi	nghĩ đến/cho rằng/cho là/tưởng là/coi là/tưởng rằng
261	171.48	每个	每個	měigè	môi cá/mỗi cá	từng
262	171.39	不错	不錯	bùcuò	bất thác/phi thác/phầu thác/phủ thác	không tồi/không sai/đúng/đúng vậy/chính xác/phải/tốt/không xấu/không tệ/khoẻ mạnh
265	168.98	支持	支持	zhīchí	chi trì	duy trì/chi trì/cầm cự/hỗ trợ/ủng hộ/gắng sức/ra sức/chống đỡ/giúp đỡ/chống chỏi
266	168.91	十分	十分	shífēn	thập phân/thập phận	thập phần/hết sức/rất/vô cùng
270	167.08	整个	整個	zhěnggè	chỉnh cá	cả/toàn bộ/tất cả/cả thảy
271	166.52	这次	這次	zhècì	giá thứ/nghiện thứ	lần này
273	165.36	身上	身上	shēnshàng	quyên thướng/quyên thượng/thân thướng/thân thượng	trên người/trên mình/bên mình/trong người
274	165.24	出去	出去	chūqù	xuất khu/xuất khứ/xích khu/xích khứ/xúy khu/xúy khứ	đi ra ngoài/ra/ra ngoài
275	164.85	今年	今年	jīnnián	kim niên	năm nay
276	163.09	经常	經常	jīngcháng	kinh thường	thường xuyên/bình thường/hàng ngày/như thường lệ/thường thường/luôn luôn
278	162.12	下午	下午	xiàwǔ	há ngọ/hạ ngọ	buổi chiều
281	161.19	名字	名字	míngzì	danh tự	tên
282	160.78	汽车	汽車	qìchē	khí xa	ô tô/ô-tô/xe hơi
284	160.41	人家	人家	rénjiā	nhân cô/nhân gia	người ta/nhân gia/nhà/hộ/gia đình/nhà chồng tương lai/gia đình chồng tương lai/người khác
285	160.12	容易	容易	róngyì	dong dị/dong dịch/dung dị/dung dịch	dễ dàng/dễ/có thể
286	159.9	好像	好像	hǎoxiàng	hiếu tượng/hảo tượng	giống như/hình như/dường như/như/giống hệt/na ná
287	159.67	还要	還要	huányào	hoàn yêu/hoàn yếu/toàn yêu/toàn yếu	còn muốn
289	159.5	另外	另外	lìngwài	lánh ngoại	mặt khác/ngoài ra/ngoài/việc khác
290	159.32	网络	網絡	wǎngluò	võng lạc	internet/mạch lưới/hệ thống
292	159.02	来到	來到	láidào	lai đáo/lãi đáo	đi vào/đi tới
293	158.84	地区	地區	dìqū	đích khu/đích âu/địa khu/địa âu	khu/miền/vùng/khu vực hành chính/chuyên khu/đất thuộc địa
295	157.08	最好	最好	zùihǎo	tối hiếu/tối hảo	tốt nhất/hay nhất/giỏi nhất/cực tốt
296	156.77	教学	教學	jiàoxué	giáo học	dạy học/dạy
298	156.37	接受	接受	jiēshòu	tiếp thụ	nhận/tiếp thu/chịu/tiếp nhận/chấp nhận/đồng ý
302	153.66	下去	下去	xiàqù	há khu/há khứ/hạ khu/hạ khứ	đi xuống/xuống phía dưới/xuống/tiếp nữa/thêm
303	153.66	听到	聽到	tīngdào	thính đáo	nghe được
304	153.47	各种	各種	gèzhǒng	các chúng/các chủng	các loại/mọi/đủ loại
305	153.44	阅读	閱讀	yuèdú	duyệt đậu/duyệt độc	đọc/xem
306	153.19	不少	不少	bùshǎo	bất thiếu/bất thiểu/phi thiếu/phi thiểu/phầu thiếu/phầu thiểu/phủ thiếu/phủ thiểu	không ít
308	152.2	曾经	曾經	céngjīng	tằng kinh	từng/đã từng
310	152.11	记得	記得	jìdé	kí đắc	nhớ rõ/nhớ kỹ/nhớ/nhớ lại/còn nhớ/nhớ được
311	152.1	有的	有的	yǒude	dựu đích/dựu để/hữu đích/hữu để	có
312	151.84	那是	那是	nàshì	na thị/nả thị	đó là
313	151.63	不想	不想	bùxiǎng	bất tưởng/phi tưởng/phầu tưởng/phủ tưởng	không nghĩ/không muốn/nghĩ/chẳng ngờ/không ngờ/bất ngờ
314	151.53	提出	提出	tíchū	thì xuất/thì xích/thì xúy/đề xuất/đề xích/đề xúy/để xuất/để xích/để xúy	đưa ra
315	151.29	之前	之前	zhīqián	chi tiền	phía trước/trước/trước khi
318	150.28	样子	樣子	yángzǐ	dạng tý/dạng tử	bộ dáng/hình dạng/kiểu mẫu/thần sắc/vẻ/mẫu/tình hình/xu thế/có vẻ/kiểu dáng
321	148.98	手机	手機	shǒujī	thủ cơ/thủ ki/thủ ky	di động/điện thoại di động
322	148.97	清楚	清楚	qīngchǔ	thanh sở	rõ ràng/rõ rệt/tinh tường/minh mẫn/hiểu rõ/nắm được
323	148.96	单位	單位	dānwèi	thiền vị/thiện vị/đan vị	đơn vị
325	148.54	领导	領導	lǐngdǎo	lĩnh đạo	lãnh đạo/lĩnh đạo/người lãnh đạo
329	147.39	而是	而是	érshì	nhi thị	mà là
331	146.68	价格	價格	jiàgé	giá các/giá cách/giới các/giới cách	giá cả/giới cách/giá
332	146.08	实在	實在	shízài	thật tại	thật sự/thực sự/chân thực/đích thực/đích xác/quả thực/quả tình/kì thực/thật ra/chắc chắn/cẩn thận/kỹ/khéo/tốt
333	145.51	简单	簡單	jiǎndān	giản thiền/giản thiện/giản đan	đơn giản/giản đơn/bình thường/qua quýt/qua loa/không cẩn thận
334	144.69	帮助	幫助	bāngzhù	bang trợ	trợ giúp/bang trợ/giúp đỡ/giúp/cứu giúp/viện trợ
338	143.22	不断	不斷	bùduàn	bất đoán/bất đoạn/phi đoán/phi đoạn/phầu đoán/phầu đoạn/phủ đoán/phủ đoạn	không ngừng/liên tục/liên tiếp
340	142.48	女孩	女孩	nv̌hái	nhữ hài/nứ hài/nữ hài	cô gái/nữ hài
343	142.04	毕业	畢業	bìyè	tất nghiệp	tốt nghiệp
346	141.1	以上	以上	yǐshàng	dĩ thướng/dĩ thượng	đã ngoài/trở lên/lên/trên đây/ở trên
347	141.03	来自	來自	láizì	lai tự/lãi tự	đến từ
348	140.67	网站	網站	wǎngzhàn	võng trạm	trang web
349	140.34	怎样	怎樣	zěnyáng	chẩm dạng	như thế nào/thế nào/ra sao
355	138.32	想到	想到	xiǎngdào	tưởng đáo	nghĩ đến
361	136.92	不敢	不敢	bùgǎn	bất cảm/phi cảm/phầu cảm/phủ cảm	không dám/không nên
362	136.79	这时	這時	zhèshí	giá thì/giá thời/nghiện thì/nghiện thời	lúc này
363	136.74	房子	房子	fángzǐ	bàng tý/bàng tử/phòng tý/phòng tử	phòng ở/nhà/nhà cửa/cái nhà
367	135.37	房间	房間	fángjiān	bàng gian/phòng gian	phòng/gian phòng
368	135.14	它们	它們	tāmen	tha môn/xà môn	chúng nó
370	133.86	越来越	越來越	yuèláiyuè	hoạt lai hoạt/hoạt lai việt/hoạt lãi hoạt/hoạt lãi việt/việt lai hoạt/việt lai việt/việt lãi hoạt/việt lãi việt	càng ngày càng
371	133.84	愿意	願意	yuànyì	nguyện ý	nguyện ý/mong muốn/vui lòng/bằng lòng/sẵn lòng/hi vọng
372	133.7	电视	電視	diànshì	điện thị	TV/truyền hình/ti-vi/máy truyền hình
374	132.75	电脑	電腦	diànnǎo	điện não	máy tính/máy vi tính
378	130.72	吃饭	吃飯	chīfàn	cật phãn/cật phạn/khiết phãn/khiết phạn	ăn cơm/ăn/đi ăn/kiếm sống/sống bằng
379	130.33	马上	馬上	mǎshàng	mã thướng/mã thượng	lập tức/ngay/tức khắc/liền lập tức
383	128.9	日子	日子	rìzǐ	nhật tý/nhật tử	ngày/thời kì/thời gian/cuộc sống/sinh kế
384	128.34	哪里	哪裡	nǎlǐ	na lí/na lý	làm sao/đâu/chỗ nào/ở đâu/nơi nào/đâu có/đâu phải
386	128.19	快乐	快樂	kuàilè	khoái lạc/khoái nhạc/khoái nhạo	khoái hoạt/vui sướng/vui vẻ/sung sướng/hạnh phúc/may mắn
388	127.67	中国人	中國人	zhōngguórén	trung quốc nhân/trúng quốc nhân	người Trung Quốc
389	127.63	就要	就要	jìuyào	tựu yêu/tựu yếu	sẽ
390	126.83	责任	責任	zérèn	trách nhâm/trách nhậm/trái nhâm/trái nhậm	trách nhiệm
391	126.68	并且	並且	bìngqiě	tinh thư/tinh thả/tịnh thư/tịnh thả	hơn nữa/đồng thời/và/vả/mà còn/còn
393	126.26	水平	水平	shǔipíng	thủy biền/thủy bình	xoay ngang/ngang mặt nước/trình độ/thủy bình/nước phẳng
397	125.5	获得	獲得	huòdé	hoạch đắc	đạt được/thu được/được/giành được
399	125.19	不用	不用	bùyòng	bất dụng/phi dụng/phầu dụng/phủ dụng	không cần/khỏi cần/khỏi phải
400	125.17	昨天	昨天	zuótiān	tạc thiên	ngày hôm qua/hôm qua/đã qua/trước kia/trước đây
401	124.7	变成	變成	biànchéng	biến thành/biện thành	biến thành/trở thành/thành ra/hoá ra/trở nên
402	124.18	然而	然而	ránér	nhiên nhi	nhưng mà/thế mà/song
403	124.17	看来	看來	kànlái	khán lai/khán lãi	xem ra
404	123.16	论坛	論壇	lùntán	luân đàn/luận đàn	diễn đàn
406	122.82	医生	醫生	yìshēng	y sanh/y sinh	thầy thuốc/bác sĩ
407	122.81	引用	引用	yǐnyòng	dấn dụng/dẫn dụng	trích dẫn/cử/uỷ nhiệm/viện dẫn
408	122.65	不了	不了	bùle	bất liễu/bất liệu/phi liễu/phi liệu/phầu liễu/phầu liệu/phủ liễu/phủ liệu	không được/không dứt/liên miên/không ngớt
410	122.56	谢谢	謝謝	xièxiè	tạ tạ	cám ơn/cảm tạ/cảm ơn/tạ ơn
411	122.37	媒体	媒體	méitǐ	môi thể	truyền thông
413	120.91	教授	教授	jiàoshòu	giáo thụ	giáo thụ/giảng dạy/truyền thụ/giáo sư
415	120.56	具有	具有	jùyǒu	cụ dựu/cụ hữu	có/có đủ/sẵn có/vốn có
416	120.5	上面	上面	shàngmiàn	thướng diện/thướng miến/thượng diện/thượng miến	mặt trên/trước/phía trên/phần trên/trên/trên mặt/mặt/phương diện/cấp trên/hàng trên/vai trên/lớp trên
417	120.2	打开	打開	dǎkāi	đả khai	mở ra/mở/giở ra/kéo ra/mở rộng/tháo gỡ
418	119.91	身边	身邊	shēnbiān	quyên biên/thân biên	bên người/bên cạnh/bên mình/trong người
419	119.74	面前	面前	miànqián	diện tiền/miến tiền	trước mặt/phía trước/trước mắt
420	119.5	最近	最近	zùijìn	tối cấn/tối cận/tối ký	gần nhất/gần đây/mới đây/vừa qua
421	119.38	想起	想起	xiǎngqǐ	tưởng khởi	nhớ tới
422	119.14	不再	不再	bùzài	bất tái/phi tái/phầu tái/phủ tái	không hề
